Datos de la Planta a lazo abierto (Gla) o lazo cerrado (Glc)
C:\Users\Paulo\Documents\PAULO\CONTROL\ETN1040\3Dprinter\3DPrinterProject\analisis\datosRecolectados\Gp_tm1000ms_19V_0a1V_3kHz_a.txt
24/09/2014 06:41:41 a.m.

r(t):Voltaje[V]          y(t):Voltaje[V]         y(t):Temp[°C]         Tiempo de muestreo:tm[ms]
1.000                      0.459                     27.523                     1825.203
1.000                      0.454                     27.230                     2839.205
1.000                      0.449                     26.938                     3868.807
1.000                      0.454                     27.230                     4867.209
1.000                      0.425                     25.474                     5881.210
1.000                      0.468                     28.109                     6910.812
1.000                      0.425                     25.474                     7909.214
1.000                      0.454                     27.230                     8923.216
1.000                      0.420                     25.181                     9952.818
1.000                      0.449                     26.938                     10951.219
1.000                      0.449                     26.938                     11965.221
1.000                      0.410                     24.595                     12994.823
1.000                      0.454                     27.230                     14008.825
1.000                      0.459                     27.523                     15007.226
1.000                      0.454                     27.230                     16021.228
1.000                      0.454                     27.230                     17050.83
1.000                      0.464                     27.816                     18049.232
1.000                      0.464                     27.816                     19063.234
1.000                      0.449                     26.938                     20092.835
1.000                      0.464                     27.816                     21091.237
1.000                      0.425                     25.474                     22105.239
1.000                      0.459                     27.523                     23134.841
1.000                      0.459                     27.523                     24145.243
1.000                      0.468                     28.109                     25142.045
1.000                      0.434                     26.059                     26172.447
1.000                      0.449                     26.938                     27170.849
1.000                      0.449                     26.938                     28184.851
1.000                      0.464                     27.816                     29214.452
1.000                      0.464                     27.816                     30197.254
1.000                      0.468                     28.109                     31226.856
1.000                      0.464                     27.816                     32240.858
1.000                      0.468                     28.109                     33270.460
1.000                      0.468                     28.109                     34268.861
1.000                      0.434                     26.059                     35282.863
1.000                      0.454                     27.230                     36312.465
1.000                      0.464                     27.816                     37404.467
1.000                      0.464                     27.816                     38324.868
1.000                      0.468                     28.109                     39354.470
1.000                      0.478                     28.694                     40337.272
1.000                      0.464                     27.816                     41366.874
1.000                      0.464                     27.816                     42380.876
1.000                      0.478                     28.694                     43410.477
1.000                      0.473                     28.402                     44408.879
1.000                      0.439                     26.352                     45422.881
1.000                      0.468                     28.109                     46452.483
1.000                      0.459                     27.523                     47450.884
1.000                      0.425                     25.474                     48464.886
1.000                      0.473                     28.402                     49494.488
1.000                      0.473                     28.402                     50492.890
1.000                      0.464                     27.816                     51506.892
1.000                      0.449                     26.938                     52536.493
1.000                      0.444                     26.645                     53550.495
1.000                      0.478                     28.694                     54548.897
1.000                      0.468                     28.109                     55562.899
1.000                      0.454                     27.230                     56592.501
1.000                      0.478                     28.694                     57590.902
1.000                      0.478                     28.694                     58604.904
1.000                      0.449                     26.938                     59634.506
1.000                      0.454                     27.230                     60632.908
1.000                      0.483                     28.987                     61646.909
1.000                      0.493                     29.573                     62676.511
1.000                      0.454                     27.230                     63659.313
1.000                      0.454                     27.230                     64688.915
1.000                      0.493                     29.573                     65702.917
1.000                      0.488                     29.28                     66732.518
1.000                      0.493                     29.573                     67730.920
1.000                      0.444                     26.645                     68744.922
1.000                      0.444                     26.645                     69774.524
1.000                      0.498                     29.866                     70772.926
1.000                      0.498                     29.866                     71786.927
1.000                      0.483                     28.987                     72816.529
1.000                      0.498                     29.866                     73814.931
1.000                      0.493                     29.573                     74828.933
1.000                      0.488                     29.28                     75842.934
1.000                      0.454                     27.230                     76872.536
1.000                      0.508                     30.451                     77870.938
1.000                      0.449                     26.938                     78884.940
1.000                      0.493                     29.573                     79914.542
1.000                      0.503                     30.158                     80912.943
1.000                      0.464                     27.816                     81926.945
1.000                      0.503                     30.158                     82956.547
1.000                      0.503                     30.158                     83954.949
1.000                      0.493                     29.573                     84968.950
1.000                      0.503                     30.158                     85998.552
1.000                      0.468                     28.109                     86981.354
1.000                      0.498                     29.866                     88010.956
1.000                      0.503                     30.158                     89024.958
1.000                      0.512                     30.744                     90054.559
1.000                      0.478                     28.694                     91052.961
1.000                      0.508                     30.451                     92066.963
1.000                      0.503                     30.158                     93096.565
1.000                      0.454                     27.230                     94094.966
1.000                      0.503                     30.158                     95108.968
1.000                      0.503                     30.158                     96138.57
1.000                      0.508                     30.451                     97121.372
1.000                      0.503                     30.158                     98150.974
1.000                      0.508                     30.451                     99164.975
1.000                      0.512                     30.744                     100194.577
1.000                      0.473                     28.402                     101192.979
1.000                      0.508                     30.451                     102206.981
1.000                      0.512                     30.744                     103236.582
1.000                      0.459                     27.523                     104234.984
1.000                      0.454                     27.230                     105248.986
1.000                      0.464                     27.816                     106278.588
1.000                      0.512                     30.744                     107276.990
1.000                      0.517                     31.037                     108290.991
1.000                      0.468                     28.109                     109320.593
1.000                      0.517                     31.037                     110334.595
1.000                      0.478                     28.694                     111332.997
1.000                      0.517                     31.037                     112346.998
1.000                      0.503                     30.158                     113376.600
1.000                      0.503                     30.158                     114375.002
1.000                      0.464                     27.816                     115389.004
1.000                      0.517                     31.037                     116418.606
1.000                      0.522                     31.330                     117417.007
1.000                      0.508                     30.451                     118431.009
1.000                      0.522                     31.330                     119460.611
1.000                      0.517                     31.037                     120443.413
1.000                      0.493                     29.573                     121473.014
1.000                      0.527                     31.622                     122487.016
1.000                      0.527                     31.622                     123516.618
1.000                      0.508                     30.451                     124515.020
1.000                      0.478                     28.694                     125529.022
1.000                      0.542                     32.501                     126558.623
1.000                      0.517                     31.037                     127557.025
1.000                      0.527                     31.622                     128571.027
1.000                      0.527                     31.622                     129600.629
1.000                      0.493                     29.573                     130583.430
1.000                      0.532                     31.915                     131613.032
1.000                      0.517                     31.037                     132627.034
1.000                      0.532                     31.915                     133656.636
1.000                      0.493                     29.573                     134655.038
1.000                      0.512                     30.744                     135669.039
1.000                      0.517                     31.037                     136698.641
1.000                      0.527                     31.622                     137697.043
1.000                      0.493                     29.573                     138711.045
1.000                      0.522                     31.330                     139740.647
1.000                      0.532                     31.915                     140739.048
1.000                      0.527                     31.622                     141753.050
1.000                      0.522                     31.330                     142782.652
1.000                      0.493                     29.573                     143796.654
1.000                      0.527                     31.622                     144795.056
1.000                      0.532                     31.915                     145809.057
1.000                      0.537                     32.208                     146838.659
1.000                      0.527                     31.622                     147837.061
1.000                      0.542                     32.501                     148851.063
1.000                      0.537                     32.208                     149880.664
1.000                      0.537                     32.208                     150879.066
1.000                      0.537                     32.208                     151893.068
1.000                      0.527                     31.622                     152922.670
1.000                      0.542                     32.501                     153936.672
1.000                      0.532                     31.915                     154935.073
1.000                      0.508                     30.451                     155949.075
1.000                      0.512                     30.744                     156978.677
1.000                      0.542                     32.501                     157977.079
1.000                      0.537                     32.208                     158991.080
1.000                      0.542                     32.501                     160020.682
1.000                      0.532                     31.915                     161019.084
1.000                      0.542                     32.501                     162033.086
1.000                      0.547                     32.794                     163062.688
1.000                      0.537                     32.208                     164076.689
1.000                      0.508                     30.451                     165075.091
1.000                      0.537                     32.208                     166089.093
1.000                      0.551                     33.086                     167118.695
1.000                      0.537                     32.208                     168117.096
1.000                      0.537                     32.208                     169131.098
1.000                      0.532                     31.915                     170160.7
1.000                      0.508                     30.451                     171159.102
1.000                      0.542                     32.501                     172173.104
1.000                      0.522                     31.330                     173202.705
1.000                      0.566                     33.965                     174201.107
1.000                      0.551                     33.086                     175215.109
1.000                      0.556                     33.379                     176244.711
1.000                      0.547                     32.794                     177227.512
1.000                      0.571                     34.258                     178257.114
1.000                      0.547                     32.794                     179271.116
1.000                      0.556                     33.379                     180300.718
1.000                      0.537                     32.208                     181299.120
1.000                      0.571                     34.258                     182313.121
1.000                      0.542                     32.501                     183342.723
1.000                      0.522                     31.330                     184341.125
1.000                      0.556                     33.379                     185355.127
1.000                      0.556                     33.379                     186384.728
1.000                      0.522                     31.330                     187367.530
1.000                      0.561                     33.672                     188397.132
1.000                      0.561                     33.672                     189411.134
1.000                      0.551                     33.086                     190440.736
1.000                      0.556                     33.379                     191439.137
1.000                      0.566                     33.965                     192453.139
1.000                      0.571                     34.258                     193482.741
1.000                      0.571                     34.258                     194481.143
1.000                      0.566                     33.965                     195495.144
1.000                      0.556                     33.379                     196524.746
1.000                      0.537                     32.208                     197523.148
1.000                      0.532                     31.915                     198537.150
1.000                      0.561                     33.672                     199566.752
1.000                      0.566                     33.965                     200580.754
1.000                      0.551                     33.086                     201579.155
1.000                      0.512                     30.744                     202593.157
1.000                      0.556                     33.379                     203622.759
1.000                      0.571                     34.258                     204621.160
1.000                      0.576                     34.550                     205635.162
1.000                      0.561                     33.672                     206664.764
1.000                      0.537                     32.208                     207663.166
1.000                      0.542                     32.501                     208677.168
1.000                      0.571                     34.258                     209706.770
1.000                      0.498                     29.866                     210689.571
1.000                      0.561                     33.672                     211719.173
1.000                      0.581                     34.843                     212733.175
1.000                      0.556                     33.379                     213762.777
1.000                      0.571                     34.258                     214761.178
1.000                      0.581                     34.843                     215775.180
1.000                      0.537                     32.208                     216804.782
1.000                      0.537                     32.208                     217803.184
1.000                      0.581                     34.843                     218817.186
1.000                      0.586                     35.136                     219846.787
1.000                      0.551                     33.086                     220829.589
1.000                      0.576                     34.550                     221859.191
1.000                      0.537                     32.208                     222873.193
1.000                      0.581                     34.843                     223902.794
1.000                      0.576                     34.550                     224901.196
1.000                      0.551                     33.086                     225915.198
1.000                      0.576                     34.550                     226944.800
1.000                      0.551                     33.086                     227943.202
1.000                      0.586                     35.136                     228957.203
1.000                      0.537                     32.208                     229986.805
1.000                      0.586                     35.136                     230985.207
1.000                      0.605                     36.307                     231999.209
1.000                      0.576                     34.550                     233028.810
1.000                      0.581                     34.843                     234042.812
1.000                      0.590                     35.429                     235041.214
1.000                      0.600                     36.014                     236055.216
1.000                      0.605                     36.307                     237084.818
1.000                      0.581                     34.843                     238083.219
1.000                      0.586                     35.136                     239097.221
1.000                      0.595                     35.722                     240126.823
1.000                      0.600                     36.014                     241125.225
1.000                      0.556                     33.379                     242139.226
1.000                      0.586                     35.136                     243168.828
1.000                      0.600                     36.014                     244151.63
1.000                      0.561                     33.672                     245181.232
1.000                      0.561                     33.672                     246195.234
1.000                      0.590                     35.429                     247224.835
1.000                      0.581                     34.843                     248223.237
1.000                      0.551                     33.086                     249237.239
1.000                      0.595                     35.722                     250266.841
1.000                      0.590                     35.429                     251265.242
1.000                      0.600                     36.014                     252279.244
1.000                      0.605                     36.307                     253308.846
1.000                      0.600                     36.014                     254291.648
1.000                      0.605                     36.307                     255321.250
1.000                      0.605                     36.307                     256335.251
1.000                      0.61                     36.6                     257364.853
1.000                      0.595                     35.722                     258363.255
1.000                      0.595                     35.722                     259377.257
1.000                      0.547                     32.794                     260406.858
1.000                      0.600                     36.014                     261405.260
1.000                      0.605                     36.307                     262419.262
1.000                      0.605                     36.307                     263448.864
1.000                      0.590                     35.429                     264447.266
1.000                      0.615                     36.893                     265461.267
1.000                      0.571                     34.258                     266490.869
1.000                      0.571                     34.258                     267504.871
1.000                      0.581                     34.843                     268503.273
1.000                      0.400                     24.010                     269517.274
1.000                      0.605                     36.307                     270546.876
1.000                      0.595                     35.722                     271545.278
1.000                      0.576                     34.550                     272559.280
1.000                      0.600                     36.014                     273588.882
1.000                      0.615                     36.893                     274587.283
1.000                      0.590                     35.429                     275601.285
1.000                      0.576                     34.550                     276630.887
1.000                      0.576                     34.550                     277613.689
1.000                      0.595                     35.722                     278643.291
1.000                      0.600                     36.014                     279657.292
1.000                      0.61                     36.6                     280686.894
1.000                      0.595                     35.722                     281685.296
1.000                      0.615                     36.893                     282699.298
1.000                      0.630                     37.771                     283728.900
1.000                      0.581                     34.843                     284727.301
1.000                      0.615                     36.893                     285741.303
1.000                      0.620                     37.186                     286770.905
1.000                      0.615                     36.893                     287769.307
1.000                      0.590                     35.429                     288783.308
1.000                      0.620                     37.186                     289812.910
1.000                      0.620                     37.186                     290826.912
1.000                      0.630                     37.771                     291825.314
1.000                      0.620                     37.186                     292839.316
1.000                      0.615                     36.893                     293868.917
1.000                      0.61                     36.6                     294867.319
1.000                      0.620                     37.186                     295881.321
1.000                      0.561                     33.672                     296910.923
1.000                      0.590                     35.429                     297909.324
1.000                      0.590                     35.429                     298923.326
1.000                      0.586                     35.136                     299952.928
1.000                      0.590                     35.429                     300966.930
1.000                      0.605                     36.307                     301965.332
1.000                      0.634                     38.064                     302979.333
1.000                      0.620                     37.186                     304008.935
1.000                      0.615                     36.893                     305007.337
1.000                      0.615                     36.893                     306021.339
1.000                      0.620                     37.186                     307050.940
1.000                      0.625                     37.478                     308049.342
1.000                      0.634                     38.064                     309063.344
1.000                      0.600                     36.014                     310092.946
1.000                      0.634                     38.064                     311106.948
1.000                      0.605                     36.307                     312105.349
1.000                      0.639                     38.357                     313119.351
1.000                      0.625                     37.478                     314148.953
1.000                      0.639                     38.357                     315147.355
1.000                      0.625                     37.478                     316161.356
1.000                      0.630                     37.771                     317190.958
1.000                      0.644                     38.650                     318189.36
1.000                      0.630                     37.771                     319203.362
1.000                      0.634                     38.064                     320232.964
1.000                      0.639                     38.357                     321231.365
1.000                      0.649                     38.942                     322245.367
1.000                      0.644                     38.650                     323274.969
1.000                      0.644                     38.650                     324288.971
1.000                      0.605                     36.307                     325287.372
1.000                      0.581                     34.843                     326301.374
1.000                      0.639                     38.357                     327330.976
1.000                      0.639                     38.357                     328329.378
1.000                      0.654                     39.235                     329343.380
1.000                      0.639                     38.357                     330372.981
1.000                      0.630                     37.771                     331371.383
1.000                      0.649                     38.942                     332385.385
1.000                      0.634                     38.064                     333414.987
1.000                      0.649                     38.942                     334397.788
1.000                      0.649                     38.942                     335427.390
1.000                      0.644                     38.650                     336441.392
1.000                      0.625                     37.478                     337470.994
1.000                      0.61                     36.6                     338469.396
1.000                      0.615                     36.893                     339483.397
1.000                      0.649                     38.942                     340512.999
1.000                      0.654                     39.235                     341511.401
1.000                      0.654                     39.235                     342525.403
1.000                      0.625                     37.478                     343555.005
1.000                      0.649                     38.942                     344553.406
1.000                      0.639                     38.357                     345567.408
1.000                      0.654                     39.235                     346581.410
1.000                      0.639                     38.357                     347611.012
1.000                      0.673                     40.406                     348609.414
1.000                      0.659                     39.528                     349623.415
1.000                      0.644                     38.650                     350653.017
1.000                      0.649                     38.942                     351651.419
1.000                      0.659                     39.528                     352665.421
1.000                      0.630                     37.771                     353695.022
1.000                      0.659                     39.528                     354693.424
1.000                      0.659                     39.528                     355707.426
1.000                      0.659                     39.528                     356737.028
1.000                      0.649                     38.942                     357751.030
1.000                      0.664                     39.821                     358749.431
1.000                      0.625                     37.478                     359763.433
1.000                      0.630                     37.771                     360793.035
1.000                      0.644                     38.650                     361791.437
1.000                      0.649                     38.942                     362805.438
1.000                      0.634                     38.064                     363835.040
1.000                      0.654                     39.235                     364833.442
1.000                      0.659                     39.528                     365847.444
1.000                      0.654                     39.235                     366877.046
1.000                      0.644                     38.650                     367891.047
1.000                      0.664                     39.821                     368889.449
1.000                      0.625                     37.478                     369903.451
1.000                      0.654                     39.235                     370933.053
1.000                      0.649                     38.942                     371931.454
1.000                      0.649                     38.942                     372945.456
1.000                      0.669                     40.114                     373975.058
1.000                      0.630                     37.771                     374973.460
1.000                      0.673                     40.406                     375987.462
1.000                      0.654                     39.235                     377017.063
1.000                      0.654                     39.235                     378015.465
1.000                      0.649                     38.942                     379029.467
1.000                      0.630                     37.771                     380059.069
1.000                      0.669                     40.114                     381073.070
1.000                      0.659                     39.528                     382071.472
1.000                      0.659                     39.528                     383085.474
1.000                      0.659                     39.528                     384115.076
1.000                      0.654                     39.235                     385113.478
1.000                      0.678                     40.699                     386127.479
1.000                      0.673                     40.406                     387157.081
1.000                      0.669                     40.114                     388155.483
1.000                      0.678                     40.699                     389169.485
1.000                      0.634                     38.064                     390199.086
1.000                      0.654                     39.235                     391181.888
1.000                      0.669                     40.114                     392211.49
1.000                      0.644                     38.650                     393225.492
1.000                      0.615                     36.893                     394255.094
1.000                      0.673                     40.406                     395253.495
1.000                      0.659                     39.528                     396267.497
1.000                      0.625                     37.478                     397297.099
1.000                      0.673                     40.406                     398295.501
1.000                      0.659                     39.528                     399309.502
1.000                      0.664                     39.821                     400339.104
1.000                      0.673                     40.406                     401321.906
1.000                      0.654                     39.235                     402351.508
1.000                      0.669                     40.114                     403365.510
1.000                      0.683                     40.992                     404395.111
1.000                      0.669                     40.114                     405393.513
1.000                      0.683                     40.992                     406407.515
1.000                      0.669                     40.114                     407437.117
1.000                      0.673                     40.406                     408435.518
1.000                      0.683                     40.992                     409449.520
1.000                      0.669                     40.114                     410479.122
1.000                      0.664                     39.821                     411477.524
1.000                      0.688                     41.285                     412491.526
1.000                      0.673                     40.406                     413521.128
1.000                      0.678                     40.699                     414535.129
1.000                      0.678                     40.699                     415533.531
1.000                      0.669                     40.114                     416547.533
1.000                      0.688                     41.285                     417577.135
1.000                      0.683                     40.992                     418575.536
1.000                      0.649                     38.942                     419589.538
1.000                      0.688                     41.285                     420619.140
1.000                      0.688                     41.285                     421617.542
1.000                      0.630                     37.771                     422631.544
1.000                      0.634                     38.064                     423661.145
1.000                      0.683                     40.992                     424643.947
1.000                      0.673                     40.406                     425673.549
1.000                      0.664                     39.821                     426687.551
1.000                      0.688                     41.285                     427717.152
1.000                      0.678                     40.699                     428715.554
1.000                      0.688                     41.285                     429729.556
1.000                      0.703                     42.163                     430759.158
1.000                      0.630                     37.771                     431757.560
1.000                      0.678                     40.699                     432771.561
1.000                      0.683                     40.992                     433801.163
1.000                      0.688                     41.285                     434783.965
1.000                      0.683                     40.992                     435813.567
1.000                      0.693                     41.578                     436827.568
1.000                      0.654                     39.235                     437857.170
1.000                      0.625                     37.478                     438855.572
1.000                      0.693                     41.578                     439869.574
1.000                      0.683                     40.992                     440899.176
1.000                      0.693                     41.578                     441897.577
1.000                      0.693                     41.578                     442911.579
1.000                      0.693                     41.578                     443941.181
1.000                      0.688                     41.285                     444939.583
1.000                      0.683                     40.992                     445953.584
1.000                      0.688                     41.285                     446983.186
1.000                      0.698                     41.870                     447997.188
1.000                      0.688                     41.285                     448995.590
1.000                      0.703                     42.163                     450009.592
1.000                      0.688                     41.285                     451039.193
1.000                      0.693                     41.578                     452037.595
1.000                      0.664                     39.821                     453051.597
1.000                      0.693                     41.578                     454081.199
1.000                      0.693                     41.578                     455079.600
1.000                      0.698                     41.870                     456093.602
1.000                      0.693                     41.578                     457123.204
1.000                      0.688                     41.285                     458106.006
1.000                      0.693                     41.578                     459135.608
1.000                      0.703                     42.163                     460149.609
1.000                      0.654                     39.235                     461179.211
1.000                      0.703                     42.163                     462177.613
1.000                      0.673                     40.406                     463191.615
1.000                      0.698                     41.870                     464221.216
1.000                      0.693                     41.578                     465219.618
1.000                      0.698                     41.870                     466233.62
1.000                      0.688                     41.285                     467263.222
1.000                      0.703                     42.163                     468261.624
1.000                      0.703                     42.163                     469275.625
1.000                      0.693                     41.578                     470305.227
1.000                      0.698                     41.870                     471319.229
1.000                      0.693                     41.578                     472317.631
1.000                      0.703                     42.163                     473331.632
1.000                      0.712                     42.749                     474361.234
1.000                      0.698                     41.870                     475359.636
1.000                      0.712                     42.749                     476373.638
1.000                      0.712                     42.749                     477403.240
1.000                      0.678                     40.699                     478401.641
1.000                      0.712                     42.749                     479415.643
1.000                      0.673                     40.406                     480445.245
1.000                      0.703                     42.163                     481428.047
1.000                      0.712                     42.749                     482457.648
1.000                      0.703                     42.163                     483471.650
1.000                      0.722                     43.334                     484501.252
1.000                      0.708                     42.456                     485499.654
1.000                      0.708                     42.456                     486513.656
1.000                      0.712                     42.749                     487543.258
1.000                      0.722                     43.334                     488541.659
1.000                      0.708                     42.456                     489555.661
1.000                      0.678                     40.699                     490585.263
1.000                      0.717                     43.042                     491568.064
1.000                      0.683                     40.992                     492597.666
1.000                      0.717                     43.042                     493611.668
1.000                      0.683                     40.992                     494641.270
1.000                      0.712                     42.749                     495639.672
1.000                      0.717                     43.042                     496653.674
1.000                      0.717                     43.042                     497683.275
1.000                      0.708                     42.456                     498681.677
1.000                      0.664                     39.821                     499695.679
1.000                      0.678                     40.699                     500725.281
1.000                      0.727                     43.627                     501723.682
1.000                      0.712                     42.749                     502737.684
